Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Brunei Darussalam;BRN;Área selvática (% del área de tierra);AG.LND.FRST.ZS;78.36812144;78.06451613;77.76091082;77.4573055;77.15370019;76.85009488;76.54648956;76.24288425;75.93927894;75.63567362;75.33206831;75.00948767;74.68690702;74.36432638;74.04174573;73.71916509;73.39658444;73.0740038;72.75142315;72.4288425;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186;72.10626186
Bhután;BTN;Área selvática (% del área de tierra);AG.LND.FRST.ZS;53.65066455;53.86315091;54.07563727;54.28812362;63.98070352;64.23015075;64.47959799;64.72904523;64.97849246;65.2279397;65.47738693;65.7268593;65.97633166;66.22580402;69.41039431;69.67088176;69.93136921;70.19185665;70.4523441;70.71283154;70.97331899;71.02521185;71.0771047;71.12899756;71.18089042;71.23278327;71.23427013;71.28617869;71.34556896;71.39748296;71.44939696;71.50131096;71.55322496
Botswana;BWA;Área selvática (% del área de tierra);AG.LND.FRST.ZS;33.17929173;32.97055035;32.76180897;32.5530676;32.34432622;32.13558485;31.92684347;31.71810209;31.50936072;31.30061934;31.09187797;30.88313659;30.67439521;30.46565384;30.25691246;30.04817109;29.83942971;29.63068833;29.42194696;29.21320558;29.00446421;28.79572283;28.58698146;28.37824008;28.1694987;27.96075733;27.75201595;27.54327458;27.3345332;27.12579182;26.91705045;26.70830907;26.4995677
República Centroafricana;CAF;Área selvática (% del área de tierra);AG.LND.FRST.ZS;37.24517641;37.19702077;37.14886513;37.10070949;37.05255385;37.00439822;36.95624258;36.90808694;36.8599313;36.81177566;36.76362002;36.71546438;36.66730874;36.6191531;36.57099746;36.52284182;36.47468619;36.42653055;36.37837491;36.33021927;36.28206363;36.23390799;36.18575235;36.13759671;36.08944107;36.04128543;35.9931298;35.94497416;35.89681852;35.84866288;35.80050724;35.7523516;35.70419596
Canadá;CAN;Área selvática (% del área de tierra);AG.LND.FRST.ZS;38.84551156;38.84025859;38.83500562;38.82975264;38.82449967;38.8192467;38.81399372;38.80874075;38.80348778;38.79823481;38.79298183;38.78763071;38.78227958;38.77692846;38.77157733;38.7662262;38.76087508;38.75552395;38.75017283;38.7448217;38.73947058;38.73486407;38.73025757;38.72565107;38.72104457;38.71643807;38.71201338;38.7078876;38.70376294;38.69963717;38.69551251;39.47012793;39.46592
Europa Central y del Báltico;CEB;Área selvática (% del área de tierra);AG.LND.FRST.ZS;27.70383351;27.74414533;31.51546197;32.09601641;32.14796286;32.20194446;32.25242537;32.30728202;32.36097218;32.41407663;32.46947199;32.5934628;32.76697613;32.8893064;33.01018695;33.1388508;33.26393127;33.39143985;33.51620279;33.60994195;33.73459167;33.86417789;34.00071029;34.09942323;34.2084079;34.33997784;34.39391423;34.47108402;34.50088203;34.53188704;34.55928473;34.58928004;34.61885706
Suiza;CHE;Área selvática (% del área de tierra);AG.LND.FRST.ZS;29.18090822;29.28881957;29.39673049;29.50464096;29.612551;29.72046061;29.82934774;29.93824233;30.04714439;30.15605392;30.26497017;30.36341959;30.4618751;30.56033746;30.65880669;30.75728279;30.85576577;30.95425486;31.05225733;31.15026275;31.24827194;31.33575582;31.42324155;31.51073153;31.59822336;31.68571785;31.77326642;31.8603338;31.94740118;32.03446856;32.12153594;32.20860332;32.2956707
Islas del Canal;CHI;Área selvática (% del área de tierra);AG.LND.FRST.ZS;4.191919192;4.191919192;4.191919192;4.191919192;4.191919192;4.191919192;4.191919192;4.191919192;4.191919192;4.191919192;4.191919192;4.287878788;4.383838384;4.47979798;4.575757576;4.671717172;4.767676768;4.863636364;4.95959596;5.055555556;5.151515152;5.151515152;5.151515152;5.151515152;5.151515152;5.151515152;5.151515152;5.151515152;5.151515152;5.151515152;5.151515152;5.151515152;
Chile;CHL;Área selvática (% del área de tierra);AG.LND.FRST.ZS;20.50490093;20.5816979;20.65849486;20.73529182;20.81208879;20.88888575;20.96568271;21.04247968;21.11927664;21.19607361;21.27287057;21.3950173;21.51716402;21.63931075;21.76145748;21.8836042;22.00575093;22.12789766;22.25004438;22.37219111;22.49433784;22.72857658;22.96281532;23.19705406;23.4312928;23.66553154;23.83086404;23.99619653;24.16152903;24.32686152;24.49215367;24.65747271;24.82277373
China;CHN;Área selvática (% del área de tierra);AG.LND.FRST.ZS;16.73800655;16.94954715;17.16108774;17.37262834;17.58416893;17.79572849;18.00728849;18.21882953;18.43037058;18.64191163;18.85347276;19.10496812;19.3564539;19.60793869;19.85942287;20.11090813;20.36239278;20.61387789;20.86536169;21.11684505;21.36832885;21.57462737;21.78092589;21.9872244;22.19352292;22.39982144;22.63049793;22.83070681;23.03091218;23.23111754;23.4313229;23.63152827;23.83173363
